ORF,Batch,Gene,GO_process,GO_function,GO_component,deletion_phenotype,result_np:04_02_24_05:cisplatin:500:uM::::hom_09_02:5,significant_np:04_02_24_05:cisplatin:500:uM::::hom_09_02:5,rank_np:04_02_24_05:cisplatin:500:uM::::hom_09_02:5,result_np:04_03_17_06:cisplatin:500:uM::::hom_09_02:5,significant_np:04_03_17_06:cisplatin:500:uM::::hom_09_02:5,rank_np:04_03_17_06:cisplatin:500:uM::::hom_09_02:5,result_np:03_04_04_03:cisplatin:500:uM::::hom_05_01:20,significant_np:03_04_04_03:cisplatin:500:uM::::hom_05_01:20,rank_np:03_04_04_03:cisplatin:500:uM::::hom_05_01:20,result_np:03_04_04_04:cisplatin:500:uM::::hom_05_01:20,significant_np:03_04_04_04:cisplatin:500:uM::::hom_05_01:20,rank_np:03_04_04_04:cisplatin:500:uM::::hom_05_01:20
YGL067W,chr7_1,NPY1,NADH metabolism,NAD+ diphosphatase activity,cytoplasm*,viable,0.277065,0,1231,-0.136346,0,3371,-0.479945,0,3949,-0.52154,0,3949
YOL081W,chr15_5,IRA2,Ras protein signal transduction,Ras GTPase activator activity,cytoplasm*,viable,0.277023,0,1232,0.945507,0,146,1.38267,0,167,1.26336,0,186
YIR036C,chr00_3,YIR036C,biological_process unknown,molecular_function unknown,cytoplasm,viable,0.276944,0,1233,-0.138396,0,3380,-0.197703,0,2664,-0.160743,0,2525
YBL086C,chr2_1,YBL086C,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.276934,0,1234,-0.079463,0,3123,-0.499792,0,4051,-0.690818,0,4509
YKR074W,chr00_3,YKR074W,biological_process unknown,molecular_function unknown,cytoplasm,viable,0.276829,0,1235,0.22063,0,1365,1.81879,0,91,0.259816,0,954
YJL112W,chr10_2,MDV1,mitochondrial genome maintenance*,molecular_function unknown,mitochondrial outer membrane,viable,0.276819,0,1236,0.212485,0,1403,-0.52425,0,4143,-0.20219,0,2662
YDL227C,chr4_3,HO,mating-type switching and recombination*,endonuclease activity,nucleus,viable,0.276584,0,1237,0.396212,0,694,-0.41984,0,3668,0.25174,0,966
YBR046C,chr2_2,ZTA1,biological_process unknown,molecular_function unknown,cytoplasm*,viable,0.276309,0,1238,0.110888,0,1967,0.806326,0,380,0.258746,0,956
YAL031C,chr1_1,FUN21,biological_process unknown,molecular_function unknown,cytoplasm,viable,0.276059,0,1239,0.103027,0,2010,-0.561885,0,4286,-0.800262,0,4643
YLR352W,chr12_5,YLR352W,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.275833,0,1240,0.143633,0,1776,-0.294612,0,3067,-0.402134,0,3457
YPL270W,chr16_1,MDL2,aerobic respiration,"ATPase activity, coupled to transmembrane movement of substances",mitochondrial inner membrane,viable,0.275585,0,1241,0.070418,0,2209,0.063586,0,1304,0.589743,0,570
YMR303C,chr13_5,ADH2,fermentation*,alcohol dehydrogenase activity,cytoplasm,viable,0.275431,0,1242,0.227444,0,1322,-0.035534,0,2124,-0.417642,0,3524
YMR075C-A,chr00_6,YMR075C-A,NA,NA,NA,viable,0.275426,0,1243,0.398321,0,685,0.221248,0,991,0.437901,0,716
YOL113W,chr00_6,SKM1,protein amino acid phosphorylation*,protein serine/threonine kinase activity,cellular_component unknown,viable,0.275353,0,1244,-0.03948,0,2924,0.072842,0,1286,0.232135,0,1010
YNL063W,chr14_3,YNL063W,biological_process unknown,S-adenosylmethionine-dependent methyltransferase activity,mitochondrion,viable,0.275273,0,1245,-0.107342,0,3257,0.035866,0,1374,-0.316006,0,3104
YOR072W,chr15_1,YOR072W,NA,NA,NA,viable,0.27525,0,1246,0.734418,0,234,0.713951,0,445,0.769613,0,426
YEL067C,chr5_2,YEL067C,NA,NA,NA,viable,0.275122,0,1247,0.199142,0,1471,-0.144891,0,2460,-0.738605,0,4591
YOR334W,chr15_4,MRS2,mitochondrial magnesium ion transport*,magnesium ion transporter activity,mitochondrial inner membrane,viable,0.274894,0,1248,0.320534,0,916,-0.578965,0,4343,-0.53621,0,4013
YNL106C,chr00_16b,INP52,cell wall organization and biogenesis*,inositol-polyphosphate 5-phosphatase activity,membrane fraction*,viable,0.274848,0,1249,0.157674,0,1697,0.685035,0,465,-0.268089,0,2908
YDL138W,chr4_2,RGT2,signal transduction*,receptor activity*,plasma membrane,viable,0.274779,0,1250,0.578716,0,367,-0.304604,0,3116,-0.332769,0,3161
YJL118W,chr10_2,YJL118W,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.274208,0,1251,0.891033,0,171,-0.282759,0,3021,-0.438009,0,3600
YLR288C,chr12_4,MEC3,chromatin silencing at telomere*,DNA binding,nucleus,viable,0.274038,0,1252,-0.195622,0,3567,2.4056,0,51,2.74599,1,43
YNL311C,chr14_1,YNL311C,ubiquitin-dependent protein catabolism,protein binding,ubiquitin ligase complex,viable,0.273888,0,1253,0.374324,0,753,-0.655777,0,4507,-0.872223,0,4690
YOR385W,chr15_5,YOR385W,biological_process unknown,molecular_function unknown,cytoplasm,viable,0.2736,0,1254,0.303695,0,974,-0.460372,0,3843,-0.592924,0,4229
YOR101W,chr15_2,RAS1,Ras protein signal transduction*,GTPase activity,plasma membrane,viable,0.273357,0,1255,0.181152,0,1577,-0.34564,0,3309,-0.375729,0,3352
YLL059C,chr00_8,YLL059C,NA,NA,NA,viable,0.27324,0,1256,0.399174,0,680,-0.11271,0,2356,-0.659882,0,4442
YOR092W,chr15_1,ECM3,cell wall organization and biogenesis,ATPase activity,endoplasmic reticulum,viable,0.27283,0,1257,-3.98e-4,0,2675,-0.002684,0,2042,-0.193063,0,2625
YDR505C,chr4_8,PSP1,biological_process unknown,molecular_function unknown,cytoplasm*,viable,0.27281300000000003,0,1258,0.244983,0,1230,0.788633,0,391,0.333127,0,852
YHR033W,chr8_1,YHR033W,biological_process unknown,molecular_function unknown,cytoplasm,viable,0.272375,0,1259,0.282483,0,1066,-0.582653,0,4352,-0.420438,0,3532
YKL201C,chr00_14,MNN4,response to stress*,molecular_function unknown,membrane,viable,0.2722,0,1260,0.293395,0,1025,-0.193089,0,2652,-0.137913,0,2445
YPL067C,chr16_3,YPL067C,biological_process unknown,molecular_function unknown,cytoplasm,viable,0.271978,0,1261,-0.013158,0,2766,0.078384,0,1273,0.528763,0,631
YBR164C,chr2_3,ARL1,protein-vacuolar targeting*,GTPase activity,soluble fraction,viable,0.271886,0,1262,-0.153818,0,3433,-0.278314,0,3001,-0.360709,0,3291
YDR430C,chr4_7,CYM1,pyruvate metabolism,molecular_function unknown,mitochondrion,viable,0.27138,0,1263,0.45971,0,550,-0.461621,0,3849,-0.651199,0,4416
YNL042W,chr14_4,BOP3,biological_process unknown,molecular_function unknown,cytoplasm*,viable,0.271357,0,1264,0.24207,0,1242,0,0,1914,0,0,1914
YFL010W-A,chr00_17a,AUA1,amino acid transport,molecular_function unknown,cellular_component unknown,NA,0.271211,0,1265,0.372078,0,756,0.351377,0,787,0.237242,0,999
YFR039C,chr00_14,YFR039C,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.271182,0,1266,0.125453,0,1885,-0.230338,0,2802,-0.615668,0,4313
YLR177W,chr12_3,YLR177W,biological_process unknown,molecular_function unknown,cytoplasm,viable,0.271063,0,1267,0.071277,0,2202,0.099859,0,1239,0.390172,0,769
YDR048C,chr00_16b,YDR048C,NA,NA,NA,viable,0.270586,0,1268,0.136121,0,1827,-0.643223,0,4493,-0.242351,0,2813
YKL164C,chr11_2,PIR1,cell wall organization and biogenesis*,structural constituent of cell wall,cell wall (sensu Fungi),viable,0.270309,0,1269,-0.168281,0,3470,-0.35058,0,3336,-0.01193,0,2068
YHR204W,chr8_3,MNL1,ER-associated protein catabolism,carbohydrate binding,endoplasmic reticulum,viable,0.270027,0,1270,-0.128338,0,3348,1.25846,0,202,1.42414,0,145
YEL017W,chr5_2,GTT3,glutathione metabolism,molecular_function unknown,cellular_component unknown,viable,0.269683,0,1271,0.207069,0,1435,-0.780732,0,4633,-0.37891,0,3369
YPL196W,chr16_1,OXR1,response to oxidative stress,molecular_function unknown,cellular_component unknown,viable,0.269659,0,1272,-0.043521,0,2946,-0.385772,0,3520,-0.233606,0,2776
YBR028C,chr2_2,YBR028C,biological_process unknown,protein kinase activity,cytoplasm,viable,0.269583,0,1273,-0.110032,0,3270,0.33849,0,805,1.91286,0,81
YHR207C,chr8_3,SET5,biological_process unknown,molecular_function unknown,cytoplasm*,viable,0.269545,0,1274,0.599867,0,345,3.16266,1,30,1.58491,0,112
YPL172C,chr16_2,COX10,protein complex assembly*,protoheme IX farnesyltransferase activity,mitochondrial inner membrane,viable,0.269321,0,1275,0.176714,0,1600,-0.252534,0,2903,-0.192864,0,2624
YPL116W,chr16_2,HOS3,histone deacetylation,histone deacetylase activity,cytoplasm*,viable,0.269248,0,1276,0.234468,0,1281,-0.487145,0,3985,-0.711972,0,4555
YPR036W,chr16_4,VMA13,vacuolar acidification,"hydrogen-transporting ATPase activity, rotational mechanism",vacuolar membrane (sensu Fungi)*,viable,0.268988,0,1277,-0.1684,0,3472,0,0,2012,0,0,2012
YOR239W,chr15_3,ABP140_p,actin cytoskeleton organization and biogenesis,"protein binding, bridging*",actin filament,viable,0.268686,0,1278,0.005275,0,2596,-0.468274,0,3883,-0.460633,0,3700
YER046W-A,chr5_3,YER046W-A,NA,NA,NA,NA,0.26859,0,1279,0.630681,0,319,-0.083981,0,2271,0.28466,0,912
YOR208W,chr15_3,PTP2,signal transduction during conjugation with cellular fusion*,protein tyrosine phosphatase activity,nucleus,viable,0.268581,0,1280,-0.022749,0,2833,-0.350738,0,3337,-0.335919,0,3171
YLL028W,chr12_1,TPO1,polyamine transport,spermine transporter activity*,plasma membrane*,viable,0.268559,0,1281,0.155306,0,1712,-0.395285,0,3558,-0.614851,0,4311
YKR078W,chr00_3,YKR078W,protein transport,protein transporter activity,cytoplasm,viable,0.268501,0,1282,0.230781,0,1301,0.006516,0,1456,-0.213204,0,2703
YKR031C,chr11_3,SPO14,sporulation (sensu Fungi)*,phospholipase D activity,endosome*,viable,0.268352,0,1283,0.234491,0,1280,0.053484,0,1333,0.853093,0,381
YNL322C,chr14_1,KRE1,cell wall organization and biogenesis,structural constituent of cell wall,cell wall (sensu Fungi),viable,0.268068,0,1284,0.19154,0,1517,-0.382366,0,3501,-0.900515,0,4700
YBR150C,chr00_16a,TBS1,biological_process unknown,molecular_function unknown,cytoplasm*,viable,0.267999,0,1285,-0.045788,0,2954,0.82681,0,369,0.275767,0,925
YDL234C,chr4_3,GYP7,vesicle-mediated transport,Rab GTPase activator activity,cytoplasm,viable,0.267742,0,1286,0.083827,0,2117,-0.639608,0,4483,-0.61034,0,4292
YNL043C,chr14_4,YNL043C,NA,NA,NA,viable,0.267705,0,1287,-0.261141,0,3758,-0.083429,0,2268,0.335244,0,850
YLR285W,chr12_4,NNT1,chromatin silencing at ribosomal DNA*,nicotinamide N-methyltransferase activity,cytoplasm,viable,0.267695,0,1288,0.211729,0,1406,0.041188,0,1358,-0.423626,0,3541
YGR290W,chr00_3,YGR290W,NA,NA,NA,viable,0.267558,0,1289,0.680632,0,272,-0.680202,0,4543,-0.428244,0,3561
YLL043W,chr12_1,FPS1,transport*,transporter activity*,cytoplasm*,viable,0.267447,0,1290,1.12953,0,103,-0.39698,0,3566,-0.628521,0,4357
YKL163W,chr11_2,PIR3,cell wall organization and biogenesis,structural constituent of cell wall,cell wall (sensu Fungi),viable,0.266899,0,1291,0.056877,0,2295,-0.430147,0,3722,-0.340675,0,3193
YNL315C,chr00_17b,ATP11,protein complex assembly,unfolded protein binding,mitochondrial matrix,viable,0.266587,0,1292,0.116277,0,1939,0,0,1948,0,0,1948
YER087C-A,chr5_3,YER087C-A,NA,NA,NA,NA,0.26653,0,1293,-0.028807,0,2869,0.066876,0,1299,-0.469832,0,3735
YDR260C,chr4_6,SWM1,spore wall assembly (sensu Fungi)*,molecular_function unknown,nucleus*,viable,0.266435,0,1294,0.889683,0,173,0.052048,0,1337,0.679321,0,490
YJL185C,chr10_1,YJL185C,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.265584,0,1295,-0.361886,0,3976,1.31415,0,189,0.429324,0,729
YMR163C,chr13_4,YMR163C,biological_process unknown,molecular_function unknown,cytoplasm,viable,0.265405,0,1296,0.35874,0,796,-0.179536,0,2593,-0.679192,0,4488
YBR287W,chr00_16a,ZSP1,biological_process unknown,molecular_function unknown,endoplasmic reticulum,viable,0.264856,0,1297,0.248635,0,1215,0.231157,0,974,-0.286508,0,2991
YKL075C,chr11_1,YKL075C,biological_process unknown,molecular_function unknown,cytoplasm,viable,0.264814,0,1298,-0.078176,0,3113,0.350973,0,788,2.26437,0,62
YGR042W,chr7_4,YGR042W,biological_process unknown,molecular_function unknown,cytoplasm*,viable,0.264756,0,1299,0.06562,0,2246,0.086767,0,1260,-0.436621,0,3590
YNR013C,chr14_4,PHO91,phosphate transport,phosphate transporter activity,membrane,viable,0.264741,0,1300,0.193499,0,1505,-0.119317,0,2375,0.015165,0,1435
YBL021C,chr2_1,HAP3,transcription*,transcriptional activator activity,CCAAT-binding factor complex,viable,0.264594,0,1301,-0.03432,0,2903,-0.472428,0,3906,-0.796703,0,4636
YNL288W,chr14_1,CAF40,regulation of transcription from Pol II promoter,molecular_function unknown,CCR4-NOT complex,viable,0.264204,0,1302,0.339483,0,856,-0.62221,0,4454,-0.413915,0,3512
YDL233W,chr4_3,YDL233W,biological_process unknown,molecular_function unknown,cytoplasm*,viable,0.264101,0,1303,0.736671,0,231,-0.457411,0,3831,-0.965378,0,4717
YLR412W,chr12_5,YLR412W,biological_process unknown,molecular_function unknown,cytoplasm,viable,0.263789,0,1304,0.162692,0,1667,0.345534,0,793,0.091921,0,1260
YOR019W,chr15_1,YOR019W,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.263603,0,1305,0.183469,0,1564,-0.782381,0,4636,-0.943521,0,4710
YLR226W,chr12_3,BUR2,transcription*,cyclin-dependent protein kinase regulator activity,nucleus,viable,0.263227,0,1306,-0.498649,0,4198,0,0,1834,0,0,1834
YGR194C,chr7_5,XKS1,xylulose catabolism,xylulokinase activity,cytoplasm,viable,0.262092,0,1307,0.153027,0,1724,-0.351461,0,3341,-0.369237,0,3332
YDR391C,chr4_7,YDR391C,biological_process unknown,molecular_function unknown,cytoplasm*,viable,0.262028,0,1308,0.310889,0,952,-0.315994,0,3172,-0.353549,0,3261
YGR221C,chr00_2,TOS2,biological_process unknown,molecular_function unknown,bud neck*,viable,0.261912,0,1309,0.133043,0,1841,-0.44731,0,3781,-0.601312,0,4263
YOR279C,chr15_3,RFM1,chromatin silencing,unfolded protein binding,nucleus*,viable,0.26191,0,1310,-0.039566,0,2925,1.04514,0,270,0.985281,0,308
YBR090C,chr00_16a,YBR090C,biological_process unknown,molecular_function unknown,cytoplasm*,viable,0.261305,0,1311,-0.071056,0,3072,-0.10001,0,2327,-0.645276,0,4389
YDR261C,chr4_6,EXG2,cell wall organization and biogenesis,"glucan 1,3-beta-glucosidase activity",cell wall (sensu Fungi),viable,0.261289,0,1312,-0.095901,0,3207,0.275782,0,900,-0.163964,0,2532
YCL047C,chr3_1,YCL047C,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.261277,0,1313,0.207064,0,1436,0.015436,0,1430,-0.373284,0,3346
YOR325W,chr15_4,YOR325W,NA,NA,NA,viable,0.261095,0,1314,0.076852,0,2169,-0.608204,0,4415,-0.718,0,4562
YLR113W,chr12_2,HOG1,protein amino acid phosphorylation*,MAP kinase activity,cytoplasm*,viable,0.261082,0,1315,-0.173588,0,3486,0.401737,0,729,0.541503,0,617
YDL127W,chr4_2,PCL2,cell cycle,cyclin-dependent protein kinase regulator activity,cyclin-dependent protein kinase holoenzyme complex,viable,0.261035,0,1316,0.127223,0,1877,-0.159179,0,2512,-0.268073,0,2907
YPL136W,chr16_2,YPL136W,NA,NA,NA,viable,0.260941,0,1317,-0.034748,0,2904,-0.91929400000000006,0,4701,-0.909982,0,4702
YML042W,chr00_11,CAT2,carnitine metabolism,carnitine O-acetyltransferase activity,mitochondrion*,viable,0.260859,0,1318,-0.042202,0,2939,-0.528275,0,4160,-0.528659,0,3982
YER055C,chr5_3,HIS1,histidine biosynthesis,ATP phosphoribosyltransferase activity,cell,viable,0.260764,0,1319,0.183356,0,1565,-0.114789,0,2361,-0.473163,0,3744
YPL088W,chr16_3,YPL088W,aldehyde metabolism,aryl-alcohol dehydrogenase activity,cellular_component unknown,viable,0.260705,0,1320,0.097877,0,2042,-0.575363,0,4331,-0.018498,0,2089
YMR126C,chr00_9,DLT1,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.260403,0,1321,0.050138,0,2341,-0.063769,0,2205,-0.357996,0,3280
YMR172W,chr00_12,HOT1,regulation of transcription from Pol II promoter*,specific RNA polymerase II transcription factor activity,nuclear chromosome,viable,0.260296,0,1322,0.123609,0,1898,-0.535781,0,4184,-0.393126,0,3422
YHR163W,chr8_3,SOL3,tRNA processing*,6-phosphogluconolactonase activity,cytoplasm*,viable,0.260251,0,1323,0.111266,0,1964,0.616972,0,507,0.898758,0,348
YPL230W,chr16_1,YPL230W,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.260122,0,1324,0.448112,0,572,-0.610358,0,4421,-0.667536,0,4461
YBL011W,chr2_1,SCT1,phospholipid biosynthesis,glycerol-3-phosphate O-acyltransferase activity,endoplasmic reticulum,viable,0.259797,0,1325,0.258498,0,1171,-0.103255,0,2333,-0.227812,0,2755
YDR314C,chr4_6,YDR314C,biological_process unknown,molecular_function unknown,nucleus,viable,0.259577,0,1326,0.268119,0,1130,0.020469,0,1415,-0.258671,0,2874
YOR358W,chr15_4,HAP5,transcription*,transcriptional activator activity,CCAAT-binding factor complex,viable,0.259419,0,1327,0.503676,0,468,-0.543535,0,4221,-0.564927,0,4120
YBR085W,chr2_3,AAC3,anaerobic respiration,ATP:ADP antiporter activity,mitochondrial inner membrane,viable,0.259042,0,1328,0.131004,0,1859,0,0,1494,0,0,1494
YDR456W,chr4_8,NHX1,vacuolar acidification*,monovalent inorganic cation transporter activity,late endosome,viable,0.258955,0,1329,0.556837,0,399,1.66612,0,112,1.0691,0,265
YGL262W,chr7_3,YGL262W,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.258848,0,1330,0.033373,0,2449,-0.215244,0,2740,-0.530054,0,3992
YNL336W,chr14_1,COS1,biological_process unknown,molecular_function unknown,vacuole (sensu Fungi),viable,0.257963,0,1331,0.232165,0,1294,-0.689794,0,4556,-0.614716,0,4308
YDR123C,chr4_4,INO2,positive regulation of transcription from Pol II promoter*,specific RNA polymerase II transcription factor activity,nucleus,viable,0.257738,0,1332,0.151222,0,1738,0.233634,0,969,-0.306537,0,3063
YBL048W,chr2_1,YBL048W,NA,NA,NA,viable,0.257353,0,1333,0.094256,0,2056,-0.468182,0,3882,-0.342432,0,3206
YCR090C,chr00_2,YCR090C,biological_process unknown,molecular_function unknown,cytoplasm*,viable,0.257,0,1334,0.091839,0,2075,-0.459245,0,3837,-0.578174,0,4177
YOR127W,chr15_2,RGA1,establishment of cell polarity (sensu Fungi)*,signal transducer activity*,intracellular,viable,0.256879,0,1335,-0.105681,0,3250,-0.122085,0,2385,-0.132128,0,2428
YLR236C,chr12_4,YLR236C,NA,NA,NA,viable,0.256849,0,1336,0.092446,0,2069,0.685452,0,464,0.768174,0,428
YBR072W,chr2_2,HSP26,response to stress*,unfolded protein binding,cytoplasm*,viable,0.256603,0,1337,0.303661,0,976,0.653821,0,484,-0.068842,0,2216
YDL222C,chr4_3,FMP45,cell wall organization and biogenesis,molecular_function unknown,integral to membrane*,viable,0.256352,0,1338,0.05751,0,2290,-0.080084,0,2259,-0.520669,0,3943
YDR110W,chr4_4,FOB1,DNA recombination*,ribosomal DNA (rDNA) binding,nucleolus,viable,0.256168,0,1339,0.365494,0,771,0.224676,0,988,0.430348,0,727
YGR058W,chr7_4,YGR058W,biological_process unknown,molecular_function unknown,cytoplasm*,viable,0.255962,0,1340,0.091496,0,2078,0.138165,0,1151,0.127198,0,1194
YOL101C,chr00_6,IZH4,lipid metabolism*,metal ion binding,membrane*,viable,0.255927,0,1341,-0.302311,0,3858,0.154813,0,1118,-0.309062,0,3076
YDL074C,chr4_1,BRE1,chromatin silencing at telomere*,ubiquitin-protein ligase activity,nucleus,viable,0.255614,0,1342,-0.666831,0,4413,1.34412,0,182,1.63669,0,105
YML112W,chr00_9,CTK3,protein amino acid phosphorylation*,cyclin-dependent protein kinase activity,nucleus,viable,0.255593,0,1343,0.228335,0,1318,0,0,1879,0,0,1879
YJL122W,chr10_2,YJL122W,biological_process unknown,molecular_function unknown,nucleus,viable,0.255479,0,1344,0.172846,0,1614,-0.140537,0,2451,-0.377701,0,3363
YJR008W,chr00_13,YJR008W,biological_process unknown,molecular_function unknown,cytoplasm*,viable,0.255227,0,1345,-0.027293,0,2859,-0.21997,0,2766,-0.313217,0,3095
YER033C,chr5_3,ZRG8,biological_process unknown,molecular_function unknown,cytoplasm*,viable,0.255179,0,1346,0.298265,0,1000,0.414429,0,716,-0.384086,0,3392
YPR077C,chr16_4,YPR077C,NA,NA,NA,viable,0.25511,0,1347,0.262734,0,1153,-0.499435,0,4046,-0.697041,0,4525
YNL157W,chr14_2,YNL157W,biological_process unknown,molecular_function unknown,cytoplasm*,viable,0.254946,0,1348,0.08753,0,2101,-0.175721,0,2576,-0.482552,0,3783
YJR109C,chr00_12,CPA2,arginine biosynthesis,carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity,cytosol,viable,0.254537,0,1349,0.016913,0,2523,-0.562531,0,4290,-0.661679,0,4446
YPR195C,chr16_5,YPR195C,NA,NA,NA,viable,0.254266,0,1350,0.050234,0,2339,-0.468428,0,3884,-0.46724,0,3725
YJR020W,chr00_13,YJR020W,NA,NA,NA,viable,0.254185,0,1351,0.07319,0,2189,-0.428632,0,3714,-0.565039,0,4121
YDL168W,chr4_2,SFA1,formaldehyde assimilation,formaldehyde dehydrogenase (glutathione) activity,cytoplasm*,viable,0.253783,0,1352,-0.410614,0,4080,0.014099,0,1435,0.922181,0,338
YKL194C,chr00_14,MST1,threonyl-tRNA aminoacylation,threonine-tRNA ligase activity,mitochondrion,viable,0.253419,0,1353,0.223233,0,1346,0,0,1800,0,0,1800
YBL033C,chr2_1,RIB1,vitamin B2 biosynthesis,cyclohydrolase activity,cytoplasm*,viable,0.253274,0,1354,0.098803,0,2036,0,0,1478,0,0,1478
YLR282C,chr12_4,YLR282C,NA,NA,NA,viable,0.253212,0,1355,0.210414,0,1413,-0.027643,0,2105,-0.251408,0,2849
YOR220W,chr15_3,YOR220W,biological_process unknown,molecular_function unknown,cytoplasm,viable,0.252663,0,1356,-0.106146,0,3251,-0.720449,0,4588,-0.455673,0,3681
YLL053C,chr12_1,YLL053C,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.252646,0,1357,0.735198,0,232,-0.223317,0,2780,-0.499712,0,3859
YFR056C,chr00_2,YFR056C,NA,NA,NA,viable,0.252556,0,1358,-0.06542,0,3041,-0.495709,0,4029,-0.456421,0,3685
YEL053C,chr5_2,MAK10,host-pathogen interaction*,amino-acid N-acetyltransferase activity,cytoplasm,viable,0.252374,0,1359,0.503147,0,471,-0.716416,0,4581,0.265771,0,945
YJL197W,chr10_1,UBP12,biological_process unknown,ubiquitin-specific protease activity,cytoplasm*,viable,0.252373,0,1360,0.719023,0,246,0.061394,0,1311,0.033696,0,1403
YJR106W,chr00_12,ECM27,cell wall organization and biogenesis,molecular_function unknown,cellular_component unknown,viable,0.252192,0,1361,0.246133,0,1226,-0.291967,0,3057,-0.162477,0,2528
YDR521W,chr4_8,YDR521W,NA,NA,NA,viable,0.251374,0,1362,0.115653,0,1945,-0.187501,0,2634,-0.422923,0,3538
YMR150C,chr13_4,IMP1,mitochondrial processing,peptidase activity,mitochondrial inner membrane peptidase complex,viable,0.251154,0,1363,0.119631,0,1920,1.10692,0,246,-0.208685,0,2689
YPL186C,chr16_2,UIP4,biological_process unknown,molecular_function unknown,nuclear membrane,viable,0.251133,0,1364,-0.068003,0,3059,-0.444787,0,3772,-0.600984,0,4261
YDR263C,chr4_6,DIN7,DNA repair,nuclease activity,mitochondrion,viable,0.251066,0,1365,-0.308059,0,3871,0.295253,0,878,-0.402815,0,3459
YLL002W,chr12_1,RTT109,negative regulation of DNA transposition,molecular_function unknown,nucleus,viable,0.250868,0,1366,0.729037,0,239,0,0,1806,0,0,1806
YPL187W,chr16_2,MF(ALPHA)1,response to pheromone during conjugation with cellular fusion,pheromone activity,extracellular,viable,0.250712,0,1367,0.32404,0,905,-0.438997,0,3749,-0.421618,0,3533
YCR053W,chr00_16a,THR4,endocytosis*,threonine synthase activity,cytoplasm*,viable,0.250239,0,1368,0.117825,0,1931,0.693001,0,459,-0.087589,0,2277
YKL160W,chr11_2,ELF1,cell growth,molecular_function unknown,nucleus,viable,0.250157,0,1369,0.405888,0,657,-0.069947,0,2225,0.045972,0,1377
YNL214W,chr14_2,PEX17,peroxisome organization and biogenesis,protein binding,peroxisomal membrane,viable,0.250128,0,1370,-0.124419,0,3331,0.061528,0,1310,-0.135218,0,2438
YJL132W,chr00_14,YJL132W,biological_process unknown,molecular_function unknown,membrane fraction,viable,0.250059,0,1371,0.0137,0,2544,-0.189799,0,2642,-0.267992,0,2906
YIL015W,chr9_1,BAR1,protein catabolism,aspartic-type endopeptidase activity,periplasmic space (sensu Fungi),viable,0.249522,0,1372,-0.002364,0,2694,-0.149155,0,2483,0.325882,0,858
YNL108C,chr14_3,YNL108C,metabolism,molecular_function unknown,cytoplasm*,viable,0.249304,0,1373,0.091763,0,2076,-0.452503,0,3804,-0.39273,0,3421
YFL020C,chr6_1,PAU5,biological_process unknown,molecular_function unknown,cellular_component unknown,viable,0.249245,0,1374,-0.113911,0,3289,0.108803,0,1211,-0.542315,0,4042
YLR451W,chr12_3,LEU3,regulation of transcription from Pol II promoter*,specific RNA polymerase II transcription factor activity,nucleus,viable,0.249226,0,1375,0.063412,0,2264,0.530403,0,578,-0.444359,0,3633
YGR291C,chr00_17a,YGR291C,NA,NA,NA,NA,0.248787,0,1376,0.305376,0,968,-0.449207,0,3785,-0.460929,0,3705
YKR106W,chr00_17b,YKR106W,transport,transporter activity,membrane,viable,0.248549,0,1377,0.303261,0,977,-0.248272,0,2882,-0.288946,0,2997
YBR130C,chr2_3,SHE3,"mRNA localization, intracellular*",mRNA binding,cytoplasm*,viable,0.248304,0,1378,0.187418,0,1537,-0.009016,0,2055,-0.201241,0,2655
YPL171C,chr16_2,OYE3,biological_process unknown,NADPH dehydrogenase activity,cellular_component unknown,viable,0.248233,0,1379,0.358323,0,800,-0.402411,0,3590,-0.474092,0,3751
YBR034C,chr2_2,HMT1,mRNA-nucleus export*,protein-arginine N-methyltransferase activity,nucleus,viable,0.24787,0,1380,0.105359,0,2000,0.960626,0,306,0.576194,0,587
YOR213C,chr15_3,SAS5,chromatin silencing at telomere,H3/H4 histone acetyltransferase activity*,nuclear chromatin*,viable,0.247839,0,1381,0.032582,0,2458,-0.461326,0,3847,-0.578598,0,4178
YOL012C,chr15_5,HTZ1,regulation of transcription from Pol II promoter*,chromatin binding,nuclear chromatin*,NA,0.247648,0,1382,-0.155796,0,3439,1.34994,0,181,1.67095,0,101
YJR120W,chr00_12,YJR120W,mitochondrion organization and biogenesis*,molecular_function unknown,cellular_component unknown,viable,0.247566,0,1383,-0.004495,0,2714,0.335722,0,811,1.48439,0,136
YDL052C,chr4_1,SLC1,sphingolipid biosynthesis,1-acylglycerol-3-phosphate O-acyltransferase activity,lipid particle,viable,0.247367,0,1384,-0.079765,0,3126,0.406096,0,724,0.169722,0,1115
